the_geom,BORO,BLOCK,LOT,BBL,TYPE,Shape_STAr,Shape_STLe
"MULTIPOLYGON (((-73.9874162813165 40.700017688470226, -73.98741930650712 40.69991266297532, -73.98746413706236 40.699914193334315, -73.98746236371436 40.70001959988333, -73.9874162813165 40.700017688470226)), ((-73.98741297957102 40.70026511731049, -73.9874150027709 40.70015913896769, -73.98746033399385 40.70016066848231, -73.98745780918009 40.70026664677119, -73.98741297957102 40.70026511731049)), ((-73.98741550928517 40.70012728791085, -73.9874167768846 40.700050091650986, -73.98746160634899 40.70005162201076, -73.98746034002055 40.70012862736271, -73.98741550928517 40.70012728791085)))",3,27002,9990,3270029990,3,1315.92223823,285.243753774
"MULTIPOLYGON (((-73.9750471053652 40.61999726821065, -73.97499738613911 40.62000297571292, -73.97497554290821 40.61988646071792, -73.97502619859004 40.61988242119247, -73.9750471053652 40.61999726821065)))",3,27000,247,3270000247,1,597.739907452,113.220855897
"MULTIPOLYGON (((-73.98506890047814 40.69055535508191, -73.98505012130857 40.69054760913106, -73.9850599224057 40.690533842457924, -73.9850787015725 40.690541588407164, -73.98506890047814 40.69055535508191)))",3,27000,336,3270000336,1,33.7909864628,23.25611533
"MULTIPOLYGON (((-73.98729686211801 40.69233969476757, -73.98728981923773 40.692339693989965, -73.98728982016881 40.69233480960769, -73.9872968630486 40.692334810385326, -73.98729686211801 40.69233969476757)))",3,27000,174,3270000174,1,3.47555288741,7.4652081728
"MULTIPOLYGON (((-73.99015580486581 40.69241564313395, -73.99013976240344 40.69241474755119, -73.99014086080753 40.69240333904662, -73.99015690326736 40.692404233728695, -73.99015580486581 40.69241564313395)))",3,27000,415,3270000415,1,18.5911867465,17.2569481973
"MULTIPOLYGON (((-73.99190354950458 40.694142066117614, -73.99188007404842 40.69413342764576, -73.9918894993461 40.69411858876056, -73.99191297479825 40.69412722723046, -73.99190354950458 40.694142066117614)))",3,27000,24,3270000024,1,43.4198384445,26.4712696864
"MULTIPOLYGON (((-73.97879255969262 40.68378091904665, -73.97877130086718 40.68377105179731, -73.97878200471145 40.68375768654243, -73.9788032647169 40.68376755469052, -73.97879255969262 40.68378091904665)))",3,27000,27,3270000027,1,39.3833087919,25.2174772135
"MULTIPOLYGON (((-73.98310840826571 40.67732946390228, -73.98309593068355 40.67732507746391, -73.9831031547842 40.677313165616695, -73.98311563236444 40.67731755295479, -73.98310840826571 40.67732946390228)))",3,27000,28,3270000028,1,18.22204045,17.1842610444
"MULTIPOLYGON (((-73.9883220323573 40.67083289639607, -73.9883163996234 40.67083025191111, -73.9883202643377 40.67082548047273, -73.9883258970712 40.67082812585799, -73.9883220323573 40.67083289639607)))",3,27000,29,3270000029,1,3.74908739412,7.75602308731
"MULTIPOLYGON (((-73.9930942797366 40.66520326073213, -73.99308912858946 40.665200784904464, -73.9930930600414 40.6651960412226, -73.99309821118841 40.66519851614957, -73.9930942797366 40.66520326073213)))",3,27000,30,3270000030,1,3.45365141092,7.46723018699
